title,price,mileage,location,dealerName,link,thumbnailURL
2013 Hyundai Elantra GLS,$6,995,117,384 mi., Phoenix, AZ,Autonation Usa Phoenix,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE8DH248713/?referrer_id=autotempest,https://thumb.autotempest.com/tc/5NPDH4AE8DH248713_5NPDH4AE8DH248713_bad6aac5212c41b76cf7777ee70da21f_117384_7d485e7f40c7e3c917e871d87a7f9bcd.webp"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2013 Hyundai Accent GLS,$7,491,94,775 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/KMHCT4AE0DU584657/?referrer_id=autotempest,"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2011 Nissan Versa 1.8 S,$3,891,135,114 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/3N1BC1CP0BL409140/?referrer_id=autotempest,"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2011 Chevrolet Cruze LTZ,$7,500,89,054 mi., Phoenix, AZ,Showcase Honda,https://www.truecar.com/used-cars-for-sale/listing/1G1PH5S92B7218167/?referrer_id=autotempest,"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2010 Ford Focus SEL,$5,368,98,268 mi., Tempe, AZ,Auto House Tempe,https://www.truecar.com/used-cars-for-sale/listing/1FAHP3HN6AW287669/?referrer_id=autotempest,"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2010 Honda Accord LX,$6,491,151,378 mi., Mesa, AZ,Ideal Cars 1,https://www.truecar.com/used-cars-for-sale/listing/1HGCP2F34AA111332/?referrer_id=autotempest,"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2006 BMW 3 Series 330xi,$7,649,122,804 mi., Scottsdale, AZ,Autonation Ford Scottsdale,https://www.truecar.com/used-cars-for-sale/listing/WBAVD33576KV62622/?referrer_id=autotempest,"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2004 Honda CR-V EX,$6,999,127,524 mi., Tempe, AZ,Horne Mazda,https://www.truecar.com/used-cars-for-sale/listing/JHLRD78854C037809/?referrer_id=autotempest,"), url("//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2016 Ford Fusion Energi Titanium,$4,975,190,360 mi., Phoenix, AZ,Another Time Used Cars 2,https://www.truecar.com/used-cars-for-sale/listing/3FA6P0SU2GR106634/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
2014 Chevrolet Spark EV LT,$5,975,75,677 mi., Phoenix, AZ,Overstock Vehicles - Phx,https://www.truecar.com/used-cars-for-sale/listing/KL8CK6S08EC400202/?referrer_id=autotempest,//static.autotempest.com/prod/build/main/img/res-placeholder.4b1c365d.svg
